Genus	Sp1	Sp2	Distance	hybrid	Condition.hybridization	Authors.hybridization	Year.hybridization	Article	barriers	Authors.barriers	Year.barriers	Condition.barriers	Choice.Mating	Hybrid.Egg	Hybrid.Adult	One.Sex.Fertile.Hybrids	Fertile.Hybrids
Heliconius	Heliconius erato	Heliconius timareta	0.0852660300136426	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius hecale	Heliconius ismenius	0.0392156862745098	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius hecale	Heliconius melpomene	0.0456140350877193	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius hecale	Heliconius numata	0.0381526104417671	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius hecale	Heliconius sapho	0.0982620320855615	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius hecale	Heliconius sara	0.0816993464052288	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius hecale	Heliconius telesiphe	0.0865257595772787	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius hecale	Heliconius timareta	0.0570852921423774	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius ismenius	Heliconius melpomene	0.0484210526315789	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius ismenius	Heliconius numata	0.0301810865191147	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius ismenius	Heliconius sapho	0.103817816476892	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius ismenius	Heliconius sara	0.08316961362148	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius ismenius	Heliconius telesiphe	0.0900066181336863	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius ismenius	Heliconius timareta	0.0585464333781965	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius melpomene	Heliconius numata	0.0486600846262341	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius melpomene	Heliconius sapho	0.0954063604240283	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius melpomene	Heliconius sara	0.0794096978215039	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius melpomene	Heliconius telesiphe	0.083743842364532	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius melpomene	Heliconius timareta	0.0265042979942693	Yes	Field	Merot, C; Mavarez, J; Evin, A; Dasmahapatra, KK; Mallet, J; Lamas, G; Joron, M.	2013	Genetic differentiation without mimicry shift in a pair of hybridizing Heliconius species (Lepidoptera: Nymphalidae)	Yes	Merot, C; Frerot, B; Leppik, E; Joron, M.	2015	Field	Y	Y	Y	Y	Y
Heliconius	Heliconius numata	Heliconius sapho	0.107454667562122	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
Heliconius	Heliconius numata	Heliconius sara	0.0845070422535211	No	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	NA	NA	NA
